
Number of dataset(s): 1

Number of LHS samplings: 500

Sampling Number: 0 of 500
/home/popp/nas/Python/Venvs/trepr/lib/python3.6/site-packages/scipy/stats/_binned_statistic.py:607: FutureWarning: Using a non-tuple sequence for multidimensional indexing is deprecated; use `arr[tuple(seq)]` instead of `arr[seq]`. In the future this will be interpreted as an array index, `arr[np.array(seq)]`, which will result either in an error or a different result.
  result = result[core]
Total least-squares: 8.278925607052277e-05
Total least-squares: 8.332090814060735e-05
Total least-squares: 8.583360059617318e-05
Total least-squares: 8.11063174340887e-05
Total least-squares: 8.909330325873957e-05
Total least-squares: 8.072818293555858e-05
Total least-squares: 8.312541438660821e-05
Total least-squares: 8.478741476328073e-05
Total least-squares: 8.078043101615607e-05
Total least-squares: 8.23953584847471e-05
Total least-squares: 8.086142750323889e-05
Total least-squares: 8.247642572461967e-05
Total least-squares: 8.069114768243725e-05
Total least-squares: 8.135613461238474e-05
Total least-squares: 8.144695453155187e-05
Total least-squares: 8.049221549173934e-05
Total least-squares: 8.186169953898583e-05
Total least-squares: 8.000060046592109e-05
Total least-squares: 8.09412059283815e-05
Total least-squares: 8.106285335746757e-05
Total least-squares: 8.003239023133254e-05
Total least-squares: 8.057849781541979e-05
Total least-squares: 8.196618551965513e-05
Total least-squares: 7.995363746433399e-05
Total least-squares: 7.983988163841319e-05
Total least-squares: 8.031269473043717e-05
Total least-squares: 8.136699041606019e-05
Total least-squares: 7.966538939517136e-05
Total least-squares: 7.962211209748031e-05
Total least-squares: 8.197845394146079e-05
Total least-squares: 8.034765516671207e-05
Total least-squares: 8.012546949260286e-05
Total least-squares: 8.021323268917798e-05
Total least-squares: 7.992508155193406e-05
Total least-squares: 8.171331091633453e-05
Total least-squares: 7.989533509224163e-05
Total least-squares: 8.003110248436047e-05
Total least-squares: 8.111793639812088e-05
Total least-squares: 7.959329791850189e-05
Total least-squares: 7.989739856597051e-05
Total least-squares: 7.964026558255277e-05
Total least-squares: 7.995213018274709e-05
Total least-squares: 7.922117888588518e-05
Total least-squares: 7.951150276502416e-05
Total least-squares: 8.058013360450957e-05
Total least-squares: 7.936512560258714e-05
Total least-squares: 7.947848342909248e-05
Total least-squares: 8.055186556950537e-05
Total least-squares: 7.98256235704494e-05
Total least-squares: 8.015319504705769e-05
Total least-squares: 7.942133364659226e-05
Total least-squares: 8.148967128002811e-05
Total least-squares: 7.938490782969042e-05
Total least-squares: 7.99351273119775e-05
Total least-squares: 7.936098636548064e-05
Total least-squares: 7.895915555806762e-05
Total least-squares: 7.887614879106407e-05
Total least-squares: 7.921073276193785e-05
Total least-squares: 7.903154896279189e-05
Total least-squares: 7.889223325133398e-05
Total least-squares: 7.904989110937509e-05
Total least-squares: 7.887399385278184e-05
Total least-squares: 7.89002578561547e-05
Total least-squares: 7.866968348671452e-05
Total least-squares: 7.87180753045751e-05
Total least-squares: 7.858063722814381e-05
Total least-squares: 7.896470741217826e-05
Total least-squares: 7.833107409261193e-05
Total least-squares: 7.841801764768832e-05
Total least-squares: 7.93186688510822e-05
Total least-squares: 7.903744270944546e-05
Total least-squares: 7.851852349373185e-05
Total least-squares: 7.866516592657507e-05
Total least-squares: 7.855514727548418e-05
Total least-squares: 7.836953220132807e-05
Total least-squares: 7.83408626662721e-05
Total least-squares: 7.845420516501889e-05
Total least-squares: 7.825236590066226e-05
Total least-squares: 7.95875666370317e-05
Total least-squares: 7.825888052136182e-05
Total least-squares: 7.835761288354243e-05
Total least-squares: 7.810825385203465e-05
Total least-squares: 7.805296287569112e-05
Total least-squares: 7.813084848041878e-05
Total least-squares: 7.853341260014094e-05
Total least-squares: 7.811433678267429e-05
Total least-squares: 7.863677857552419e-05
Total least-squares: 7.821067311455814e-05
Total least-squares: 7.87508644158689e-05
Total least-squares: 7.880656925687467e-05
Total least-squares: 7.818604945123944e-05
Total least-squares: 7.799885571437842e-05
Total least-squares: 7.806796466874911e-05
Total least-squares: 7.804775590724625e-05
Total least-squares: 7.785816954328666e-05
Total least-squares: 7.823509429721896e-05
Total least-squares: 7.816275699316577e-05
Total least-squares: 7.800409281679819e-05
Total least-squares: 7.808226417135298e-05
Total least-squares: 7.82732349597774e-05
Total least-squares: 7.817786817095703e-05
Total least-squares: 7.819629034191862e-05
Total least-squares: 7.816797635055918e-05
Total least-squares: 7.789245620585912e-05
Total least-squares: 7.797732926796903e-05
Total least-squares: 7.793240529024529e-05
Total least-squares: 7.802375170940515e-05
Total least-squares: 7.83846365706777e-05
Total least-squares: 7.798900496160029e-05
Total least-squares: 7.848633217602458e-05
Total least-squares: 7.808836435865737e-05
Total least-squares: 7.806252180423918e-05
Total least-squares: 7.818353418502902e-05
Total least-squares: 7.815421319659551e-05
Total least-squares: 7.806205758706824e-05
Total least-squares: 7.809254993001163e-05
Total least-squares: 7.807241570143434e-05
Total least-squares: 7.787239185837306e-05
Total least-squares: 7.801221678602155e-05
Total least-squares: 7.794056859731619e-05
Total least-squares: 7.800977647146296e-05
Total least-squares: 7.807043030430338e-05
Total least-squares: 7.802739990266088e-05
Total least-squares: 7.804744188274997e-05
Total least-squares: 7.810531223440238e-05
Total least-squares: 7.834625049006785e-05
Total least-squares: 7.82423183468983e-05
Total least-squares: 7.791564868065116e-05
Total least-squares: 7.795167729504612e-05
Total least-squares: 7.790769578118871e-05
Total least-squares: 7.83607507258378e-05
Total least-squares: 7.790965875811749e-05
Total least-squares: 7.809696524178127e-05
Total least-squares: 7.798763097821503e-05
Total least-squares: 7.811248824797378e-05
Total least-squares: 7.783367359066981e-05
Total least-squares: 7.808540716531443e-05
Total least-squares: 7.801393530951467e-05
Total least-squares: 7.784488169254419e-05
Total least-squares: 7.780903407395648e-05
Total least-squares: 7.802137030326433e-05
Total least-squares: 7.792487354387784e-05
Total least-squares: 7.782726540035152e-05
Total least-squares: 7.800457452950022e-05
Total least-squares: 7.79442958671939e-05
Total least-squares: 7.79895919372005e-05
Total least-squares: 7.795895307605894e-05
Total least-squares: 7.801441888108638e-05
Total least-squares: 7.781934309147905e-05
Total least-squares: 7.783060909880444e-05
Total least-squares: 7.785967918708568e-05
Total least-squares: 7.785644149175697e-05
Total least-squares: 7.798469177827346e-05
Total least-squares: 7.803270838509136e-05
Total least-squares: 7.793202985207883e-05
Total least-squares: 7.797902892081722e-05
Total least-squares: 7.79509421829195e-05
Total least-squares: 7.802854847683187e-05
Total least-squares: 7.798297571720733e-05
Total least-squares: 7.797001989933275e-05
Total least-squares: 7.80358966670842e-05
Total least-squares: 7.803836041091707e-05
Total least-squares: 7.782031250339273e-05
Total least-squares: 7.783436093783066e-05
Total least-squares: 7.802224228869424e-05
Total least-squares: 7.801543981687178e-05
Total least-squares: 7.788833723431627e-05
Total least-squares: 7.796735064789301e-05
Total least-squares: 7.788244368100476e-05
Total least-squares: 7.78338067202371e-05
Total least-squares: 7.794589028637648e-05
Total least-squares: 7.780513188905178e-05
Total least-squares: 7.777393835790451e-05
Total least-squares: 7.784353243382649e-05
Total least-squares: 7.800353857706468e-05
Total least-squares: 7.794652660907952e-05
Total least-squares: 7.783869836386e-05
Total least-squares: 7.783636131450297e-05
Total least-squares: 7.790976086412053e-05
Total least-squares: 7.783032173626594e-05
Total least-squares: 7.782591363301754e-05
Total least-squares: 7.780467924667331e-05
Total least-squares: 7.78974093057576e-05
Total least-squares: 7.779422839311805e-05
Total least-squares: 7.791254463529805e-05
Total least-squares: 7.778872758619078e-05
Total least-squares: 7.774480189525662e-05
Total least-squares: 7.778862858780031e-05
Total least-squares: 7.783951632945076e-05
Total least-squares: 7.781555058063478e-05
Total least-squares: 7.782727216406837e-05
Total least-squares: 7.779577153051974e-05
Total least-squares: 7.786892137287366e-05
Total least-squares: 7.782481005533622e-05
Total least-squares: 7.780792873615089e-05
Total least-squares: 7.778729992486892e-05
Total least-squares: 7.78207176285384e-05
Total least-squares: 7.781433622687118e-05
Total least-squares: 7.779247822047578e-05
Total least-squares: 7.779759545099237e-05
Total least-squares: 7.782403698860209e-05
Total least-squares: 7.781446139139308e-05
Total least-squares: 7.776512530558695e-05
Total least-squares: 7.776835950037343e-05
Total least-squares: 7.777666598950769e-05
Total least-squares: 7.774628869369774e-05
Total least-squares: 7.777409998455818e-05
Total least-squares: 7.775989370127605e-05
Total least-squares: 7.778959816310552e-05
Total least-squares: 7.778808154116884e-05
Total least-squares: 7.782807533161708e-05
Total least-squares: 7.784735327651166e-05
Total least-squares: 7.776024912396511e-05
Total least-squares: 7.778772407952997e-05
Total least-squares: 7.781872888932745e-05
Total least-squares: 7.777720353341363e-05
Total least-squares: 7.778384349389303e-05
Total least-squares: 7.779200973853439e-05
Total least-squares: 7.77332709887166e-05
Total least-squares: 7.773212154981238e-05
Total least-squares: 7.776016900647018e-05
Total least-squares: 7.775724979599267e-05
Total least-squares: 7.775827288271622e-05
Total least-squares: 7.775719515047969e-05
Total least-squares: 7.76933787124861e-05
Total least-squares: 7.775964055901405e-05
Total least-squares: 7.775833329368849e-05
Total least-squares: 7.77716500815349e-05
Total least-squares: 7.775490778091801e-05
Total least-squares: 7.779515467594787e-05
Total least-squares: 7.774699449492853e-05
Total least-squares: 7.778938829162517e-05
Total least-squares: 7.77483643322704e-05
Total least-squares: 7.775341376355245e-05
Total least-squares: 7.777619379186263e-05
Total least-squares: 7.771090675216756e-05
Total least-squares: 7.772840372891607e-05
Total least-squares: 7.774466767401993e-05
Total least-squares: 7.773491072053041e-05
Total least-squares: 7.777928737909523e-05
Total least-squares: 7.775867537469341e-05
Total least-squares: 7.774761312766665e-05
Total least-squares: 7.773190835589941e-05
Total least-squares: 7.779218394975975e-05
Total least-squares: 7.7719410433915e-05
Total least-squares: 7.776292088163896e-05
Total least-squares: 7.774243708231011e-05
Total least-squares: 7.771484000761367e-05
Total least-squares: 7.772334679099943e-05
Total least-squares: 7.77621682740865e-05
Total least-squares: 7.774611581561118e-05
Total least-squares: 7.772037729836632e-05
Total least-squares: 7.772928265625504e-05
Total least-squares: 7.771330969252476e-05
Total least-squares: 7.773410610189264e-05
Warning: Maximum number of iterations has been exceeded.
Total least-squares: 7.76933787124861e-05
Current least-squares: 7.76933787124861e-05

Sampling Number: 1 of 500
Total least-squares: 0.028992288683750225
Total least-squares: 0.028620174253081953
Total least-squares: 0.02879863697367637
Total least-squares: 0.02892731967803732
Total least-squares: 0.029063481304702786
Total least-squares: 0.029047770506436844
Total least-squares: 0.028979565550059705
Total least-squares: 0.028934268938851447
Total least-squares: 0.02899092995119748
Total least-squares: 0.02899400681966012
Total least-squares: 0.028803364268518976
Total least-squares: 0.028770020666455665
Total least-squares: 0.02873991912676748
Total least-squares: 0.02868533057336748
Total least-squares: 0.028623028419726502
Total least-squares: 0.028559845829697714
Total least-squares: 0.028360522548393854
Total least-squares: 0.02847578054846028
Total least-squares: 0.02834120621183128
Total least-squares: 0.02802875561881279
Total least-squares: 0.028308809533492678
Total least-squares: 0.028311009893476045
Total least-squares: 0.028127866591649692
Total least-squares: 0.028027953008371857
Total least-squares: 0.027666409196925493
Total least-squares: 0.02784436268542266
Total least-squares: 0.027723336198978474
Total least-squares: 0.02757495693914086
Total least-squares: 0.02708854110597918
Total least-squares: 0.027358360876999503
Total least-squares: 0.027239729802518018
Total least-squares: 0.02705878552498443
Total least-squares: 0.02645445925049324
Total least-squares: 0.026687247278248744
Total least-squares: 0.026522318044561222
Total least-squares: 0.02639191169871989
Total least-squares: 0.025667534547190677
Total least-squares: 0.026012707028337287
Total least-squares: 0.02578800189392439
Total least-squares: 0.025437771221261934
Total least-squares: 0.024450950775548253
Total least-squares: 0.02509981170969132
Total least-squares: 0.024823861095270423
Total least-squares: 0.024364481677792236
Total least-squares: 0.023340269995990568
Total least-squares: 0.02408166573754262
Total least-squares: 0.023810970200783533
Total least-squares: 0.023329898647533508
Total least-squares: 0.022262325081117237
Total least-squares: 0.02304405780602202
Total least-squares: 0.02267126612937819
Total least-squares: 0.02254222822154063
Total least-squares: 0.02210752254475804
Total least-squares: 0.022079421445383416
Total least-squares: 0.0220306181857414
Total least-squares: 0.02205898815346679
Total least-squares: 0.02209033340436199
Total least-squares: 0.02218283048782531
Total least-squares: 0.022148282566626414
Total least-squares: 0.02228660302154345
Total least-squares: 0.022215584351149058
Total least-squares: 0.022242583292465964
Total least-squares: 0.022248234717681198
Total least-squares: 0.022006711375574736
Total least-squares: 0.022100265786984038
Total least-squares: 0.022124859319709336
Total least-squares: 0.02198071666409947
Total least-squares: 0.024595539928825603
Total least-squares: 0.021992014322279024
Total least-squares: 0.022001290800247143
Total least-squares: 0.02198417632487545
Total least-squares: 0.02204116966260864
Total least-squares: 0.025165433839950305
Total least-squares: 0.022039893611162955
Total least-squares: 0.022072858452429164
Total least-squares: 0.02238010362284016
Total least-squares: 0.022013699544546024
Total least-squares: 0.022075636539156257
Total least-squares: 0.02198755815276613
Total least-squares: 0.022068878602606392
Total least-squares: 0.021987905480680414
Total least-squares: 0.023170034163799383
Total least-squares: 0.022002611554999524
Total least-squares: 0.02204724570043554
Total least-squares: 0.022001683406658652
Total least-squares: 0.022043785124970898
Total least-squares: 0.021993339652926554
Total least-squares: 0.022170635273457813
Total least-squares: 0.021990092187550072
Total least-squares: 0.02241789615343169
Total least-squares: 0.021988298167025674
Total least-squares: 0.022011281303677806
Total least-squares: 0.021988237582063922
Total least-squares: 0.021988254511153774
Total least-squares: 0.02199274407191088
Total least-squares: 0.02198348911529713
Total least-squares: 0.021969743370355285
Total least-squares: 0.02196048336482612
Total least-squares: 0.02198186544857942
Total least-squares: 0.021985131664774924
Total least-squares: 0.022034207259767898
Total least-squares: 0.021977105275670594
Total least-squares: 0.021997263089921715
Total least-squares: 0.02197983082812733
Total least-squares: 0.021967665351489845
Total least-squares: 0.021974444818451018
Total least-squares: 0.021986755924358146
Total least-squares: 0.021975948964757186
Total least-squares: 0.02197765863759779
Total least-squares: 0.02196825258708269
Total least-squares: 0.02198701345840896
Total least-squares: 0.021973206912186804
Total least-squares: 0.02196105426285497
Total least-squares: 0.021958130921648496
Total least-squares: 0.021949389758963458
Total least-squares: 0.021960746295325122
Total least-squares: 0.021950842604548177
Total least-squares: 0.021960720394261637
Total least-squares: 0.021947705788709172
Total least-squares: 0.021941373574355934
Total least-squares: 0.021945021936165085
Total least-squares: 0.02193853633197121
Total least-squares: 0.02192670290534559
Total least-squares: 0.021929405211449076
Total least-squares: 0.021927027355682152
Total least-squares: 0.021937205957240757
Total least-squares: 0.021925013595759334
Total least-squares: 0.021929280276611646
Total least-squares: 0.02191251267352722
Total least-squares: 0.021926995881716958
Total least-squares: 0.021920655015643747
Total least-squares: 0.021914356148944495
Total least-squares: 0.02191955131913932
Total least-squares: 0.021911141276614973
Total least-squares: 0.021915930161196175
Total least-squares: 0.021910118099926934
Total least-squares: 0.02192288469202705
Total least-squares: 0.021917731834183236
Total least-squares: 0.02191991248339257
Total least-squares: 0.02192905583043468
Total least-squares: 0.02191447250889909
Total least-squares: 0.021916012222989043
Total least-squares: 0.021921209290518974
Total least-squares: 0.0219135692766185
Total least-squares: 0.021913942594672043
Total least-squares: 0.02190836315844777
Total least-squares: 0.021912052062836463
Total least-squares: 0.021914807024454485
Total least-squares: 0.021932121002548252
Total least-squares: 0.0219120331366728
Total least-squares: 0.021916297753094532
Total least-squares: 0.02191075519974477
Total least-squares: 0.021914486693634046
Total least-squares: 0.021908550383096168
Total least-squares: 0.021905523441365583
Total least-squares: 0.021908464916785834
Total least-squares: 0.02191014088501096
Total least-squares: 0.021905225616533745
Total least-squares: 0.021904300499211545
Total least-squares: 0.021907907352077708
Total least-squares: 0.021910549812504017
Total least-squares: 0.021910639409490472
Total least-squares: 0.021905256275424032
Total least-squares: 0.021908000737088297
Total least-squares: 0.02190960838493113
Total least-squares: 0.0219100141538575
Total least-squares: 0.021910725578790397
Total least-squares: 0.02190648472424935
Total least-squares: 0.02191005649514394
Total least-squares: 0.021904523663888818
Total least-squares: 0.021914046278523766
Total least-squares: 0.02190692664100587
Total least-squares: 0.0219055110486697
Total least-squares: 0.021906740696947907
Total least-squares: 0.021908287154144904
Total least-squares: 0.02190595254634546
Total least-squares: 0.021905909700399104
Total least-squares: 0.021907645481286476
Total least-squares: 0.02190539391222059
Total least-squares: 0.021905592140588893
Total least-squares: 0.02190353066559851
Total least-squares: 0.02190470068061624
Total least-squares: 0.021905795247023182
Total least-squares: 0.02190725237845205
Total least-squares: 0.021903037765999552
Total least-squares: 0.021906247256828007
Total least-squares: 0.021903169962823446
Total least-squares: 0.021905267384900517
Total least-squares: 0.02190759027190008
Total least-squares: 0.021903524896976084
Total least-squares: 0.021910795093952065
Total least-squares: 0.02190449390140636
Total least-squares: 0.021905395362285553
Total least-squares: 0.021904404656611802
Total least-squares: 0.021904871702973183
Total least-squares: 0.02190613134467124
Total least-squares: 0.021904005150017
Total least-squares: 0.02190495850641572
Total least-squares: 0.02190389049613637
Total least-squares: 0.021902536999667335
Total least-squares: 0.021901535176753945
Total least-squares: 0.021904808708425542
Total least-squares: 0.02190381432118592
Total least-squares: 0.021902082310655713
Total least-squares: 0.02190188826565418
Total least-squares: 0.021902630719693974
Total least-squares: 0.02190138457374001
Total least-squares: 0.02190043473522305
Total least-squares: 0.021900634742876644
Total least-squares: 0.02190126960150001
Total least-squares: 0.021899754353147723
Total least-squares: 0.02189813048240863
Total least-squares: 0.021899237052674343
Total least-squares: 0.021898950285591443
Total least-squares: 0.021899259660746174
Total least-squares: 0.02189791341676373
Total least-squares: 0.021896264227452233
Total least-squares: 0.02189697942907439
Total least-squares: 0.02189588645840098
Total least-squares: 0.021893617147098435
Total least-squares: 0.021895127022411257
Total least-squares: 0.021894914084158914
Total least-squares: 0.02189292290517462
Total least-squares: 0.02188960143639752
Total least-squares: 0.021891949887888725
Total least-squares: 0.021890614982954956
Total least-squares: 0.02189149247863872
Total least-squares: 0.0218877295288853
Total least-squares: 0.021886481200460394
Total least-squares: 0.02188609377365631
Total least-squares: 0.0218872854299575
Total least-squares: 0.021884663677548852
Total least-squares: 0.021882982564893155
Total least-squares: 0.021885849402285593
Total least-squares: 0.021881000675792506
Total least-squares: 0.02188463434527928
Total least-squares: 0.02190850145330313
Total least-squares: 0.021889421951893567
Total least-squares: 0.021893235525355683
Total least-squares: 0.02188837827774291
Total least-squares: 0.02188030023083613
Total least-squares: 0.021875665355633057
Total least-squares: 0.021880782305732635
Total least-squares: 0.021885160073595894
Total least-squares: 0.02192093021246193
Total least-squares: 0.02188483764406084
Total least-squares: 0.021904286982144073
Total least-squares: 0.021884079249644
Total least-squares: 0.02187751754421464
Total least-squares: 0.021876491400486607
Total least-squares: 0.021874207045647385
Total least-squares: 0.021872815880554515
Total least-squares: 0.021881210900280897
Total least-squares: 0.021872122895720002
Total least-squares: 0.02187773885661908
Total least-squares: 0.021869626696237963
Total least-squares: 0.0218787203613016
Total least-squares: 0.021873804018839732
Total least-squares: 0.02189299277169108
Total least-squares: 0.021876953502222983
Total least-squares: 0.021866448653669518
Total least-squares: 0.021867482757340902
Total least-squares: 0.02187384336147168
Total least-squares: 0.021863674416958082
Total least-squares: 0.021860611661501658
Total least-squares: 0.021860341137253256
Total least-squares: 0.0262351001416729
Total least-squares: 0.02187998825593614
Total least-squares: 0.021870805643871935
Total least-squares: 0.021863650704537732
Total least-squares: 0.021877398674391386
Total least-squares: 0.02186834112806229
Total least-squares: 0.021867241098750895
Total least-squares: 0.021886782097892615
Total least-squares: 0.021867376396848315
Total least-squares: 0.021867090482406662
Total least-squares: 0.021875624516381684
Total least-squares: 0.021865999390999816
Total least-squares: 0.021883592720304403
Total least-squares: 0.021865006917156964
Total least-squares: 0.021861579287625967
Total least-squares: 0.021864396484057972
Total least-squares: 0.02186520095685176
Total least-squares: 0.021868276683583435
Total least-squares: 0.02186081891556222
Total least-squares: 0.02189034833346188
Total least-squares: 0.021862612715579204
Total least-squares: 0.02186443700249349
Total least-squares: 0.02186939682011255
Total least-squares: 0.02185991480543397
Total least-squares: 0.022089584052236357
Total least-squares: 0.0218609305897836
Total least-squares: 0.021865151320587292
Total least-squares: 0.021855687820143244
Total least-squares: 0.021865207137836015
Total least-squares: 0.021857258827495774
Total least-squares: 0.021860010956444725
Total least-squares: 0.02185775639949275
Total least-squares: 0.021861415730262734
Total least-squares: 0.021858750292933417
Total least-squares: 0.021865758485596513
Total least-squares: 0.0218587618296951
Warning: Maximum number of iterations has been exceeded.
Total least-squares: 0.021855687820143244
Current least-squares: 0.021855687820143244

Sampling Number: 2 of 500
Total least-squares: 0.028548352432952666
Total least-squares: 0.02757715721912031
Total least-squares: 0.028195805254189833
Total least-squares: 0.028689936920133014
Total least-squares: 0.028047433746945422
Total least-squares: 0.028564000704547756
Total least-squares: 0.028551343393264962
Total least-squares: 0.02854457608665636
Total least-squares: 0.028547417201600343
Total least-squares: 0.028545616842409006
Total least-squares: 0.027479354992751105
Total least-squares: 0.026040973349617042
Total least-squares: 0.027793090181888625
Total least-squares: 0.027572882477208283
Total least-squares: 0.027345835272726424
Total least-squares: 0.02702832410674358
Total least-squares: 0.026669501736279203
Total least-squares: 0.026148230139073005
Total least-squares: 0.025731405746858196
Total least-squares: 0.023755014760520558
Total least-squares: 0.02538035466102899
Total least-squares: 0.024597401425759766
Total least-squares: 0.023873653032332964
Total least-squares: 0.023117570242145908
Total least-squares: 0.018161073610310618
Total least-squares: 0.020760600367629514
Total least-squares: 0.018803231420586354
Total least-squares: 0.016670835304836373
Total least-squares: 0.009995709477016163
Total least-squares: 0.012963382324624627
Total least-squares: 0.01409210750637284
Total least-squares: 0.010794581243482163
Total least-squares: 0.010312241960869706
Total least-squares: 0.008903358389149359
Total least-squares: 0.00455612205208709
Total least-squares: 0.0035341164564366306
Total least-squares: 0.0020637796371048393
Total least-squares: 0.0035276522396478255
Total least-squares: 0.003140255884761359
Total least-squares: 0.0026667557945068625
Total least-squares: 0.002284846900698405
Total least-squares: 0.0023489627915567104
Total least-squares: 0.0020644067667066487
Total least-squares: 0.0018486608025494102
Total least-squares: 0.00160625603977631
Total least-squares: 0.0017840192435642174
Total least-squares: 0.0017337348323454413
Total least-squares: 0.0016842068988621956
Total least-squares: 0.0016396527371143371
Total least-squares: 0.0016251926956213534
Total least-squares: 0.0015919707405432242
Total least-squares: 0.0015570506634644285
Total least-squares: 0.0015920018113693114
Total least-squares: 0.001584068605606658
Total least-squares: 0.0015117696957900792
Total least-squares: 0.001449348991628941
Total least-squares: 0.0015613405234215251
Total least-squares: 0.0014673825624001637
Total least-squares: 0.0014901765304811481
Total least-squares: 0.0014742845061061925
Total least-squares: 0.001435984127398251
Total least-squares: 0.0013673647023590904
Total least-squares: 0.0014694888305887214
Total least-squares: 0.0013790655824346383
Total least-squares: 0.001353385813173579
Total least-squares: 0.0013051386933685565
Total least-squares: 0.001341199997065439
Total least-squares: 0.0013096839766227706
Total least-squares: 0.001319878798936315
Total least-squares: 0.0013333394779657182
Total least-squares: 0.0014158706807057262
Total least-squares: 0.0013744364843538632
Total least-squares: 0.0012794568423223319
Total least-squares: 0.0013218293604712935
Total least-squares: 0.0013274390606006483
